Employee_ID,role_level,position,age,experience_years,avg_task_completion,attendance_rate,projects_handled,overtime_hours,training_hours,FeedBack
ID001,Senior,Data Scientist,45,20,5,5,15,20,30,92.45
ID002,Junior,Data Analyst,26,3,2,3,4,35,12,41.8
ID003,Trainee,Business Analyst,23,1,1,2,2,40,8,22.35
ID004,Senior,UX Designer,39,15,4,4,12,18,22,78.6
ID005,Junior,DevOps Engineer,30,6,3,3,7,25,15,61.25
ID006,Senior,System Administrator,50,25,5,4,18,12,28,94.1
ID007,Trainee,Data Analyst,24,2,2,2,3,30,10,36.9
ID008,Senior,Database Administrator,42,18,4,5,14,15,20,84.75
ID009,Junior,Business Analyst,28,5,3,3,6,27,14,58.45
ID010,Trainee,UX Designer,22,1,1,1,1,45,6,15.8
ID011,Senior,Data Scientist,47,22,5,5,20,10,35,97.2
ID012,Junior,QA Tester,33,7,3,4,8,22,18,69.35
ID013,Senior,DevOps Engineer,44,19,4,4,16,16,25,88.4
ID014,Trainee,Database Administrator,25,2,2,2,4,38,9,31.65
ID015,Junior,Data Scientist,31,6,3,3,9,24,16,54.75
ID016,Senior,Business Analyst,52,28,5,5,22,14,32,96.85
ID017,Senior,Solution Architect,48,23,5,5,18,12,30,91.6
ID018,Junior,System Analyst,29,5,3,3,7,28,12,63.9
ID019,Trainee,UX Researcher,24,2,2,2,3,35,10,38.25
ID020,Senior,Cloud Engineer,41,17,4,4,14,20,25,82.55
ID021,Junior,QA Engineer,27,4,3,3,6,30,14,57.3
ID022,Senior,Data Engineer,45,20,5,5,16,18,28,93.75
ID023,Senior,UX Engineer,43,20,3,2,12,24,21,72.65
ID024,Senior,UX Engineer,43,12,3,2,12,24,21,66.4
ID025,Trainee,Software Engineer,23,2,4,2,12,24,21,49.55
ID026,Trainee,Software Engineer,23,1,3,4,10,23,20,52.8
ID027,Senior,Cloud Engineer,41,17,4,4,14,20,25,86.3
ID028,Senior,Cloud Engineer,41,8,2,2,5,10,15,59.7
ID100,Senior,UI Designer,32,10,2,3,16,48,2,78.6
ID101,Senior,UI Designer,42,8,4,3,13,42,6,74.5
ID102,Trainee,UI Designer,26,3,4,4,7,10,10,84.5
ID201,Senior,Software Engineer,32,10,4,3,16,48,10,78.6
ID202,Senior,Software Engineer,42,8,2,3,13,42,6,74.5
ID203,Senior,Software Engineer,42,8,4,3,13,42,6,74.5
ID204,Senior,Software Engineer,42,8,3,3,13,42,6,74.5
ID205,Senior,Software Engineer,42,8,2,5,13,42,6,74.5
ID206,Senior,Software Engineer,42,8,2,3,13,42,6,74.5
ID207,Senior,Software Engineer,42,8,2,3,13,42,2,74.5
ID208,Senior,Software Engineer,42,8,2,3,13,42,2,50.5
ID208,Senior,Software Engineer,34,8,2,3,13,42,2,50.5
ID208,Senior,Software Engineer,34,2,2,3,13,42,2,50.5
ID208,Trainee,Software Engineer,34,2,2,3,13,42,2,50.5
ID300,Senior,UI Designer,32,10,2,3,16,48,2,78.6
ID301,Junior,UI Designer,32,10,2,3,16,48,2,78.6
ID302,Junior,UI Designer,30,10,2,3,16,48,2,78.6
ID303,Junior,UI Designer,30,5,2,3,16,48,2,78.6
ID303,Junior,UI Designer,30,5,4,3,16,48,2,78.6
ID303,Junior,UI Designer,30,5,4,2,16,48,2,78.6
ID303,Junior,UI Designer,30,5,4,2,26,48,2,78.6
ID303,Junior,UI Designer,30,5,4,2,26,24,2,78.6
ID303,Junior,UI Designer,30,5,4,2,26,24,10,78.6
ID303,Junior,UI Designer,30,5,4,2,26,24,10,90.24
ID400,Junior,UI Designer,30,1,1,1,1,1,1,90.24
