role_level,position,age,experience_years,avg_task_completion,attendance_rate,projects_handled,overtime_hours,training_hours,FeedBack_Percentage,Productivity_Risk
Trainee,UX Researcher,26,1,1,1,4,24,13,24.45,High
Junior,UX Researcher,33,4,4,3,6,15,15,90.7,Low
Junior,Data Analyst,32,7,2,3,8,28,19,65.35,Medium
Senior,UX Designer,43,12,4,4,12,21,26,96.0,Low
Senior,DevOps Engineer,42,10,4,4,14,14,28,96.0,Low
Senior,Data Scientist,40,11,4,5,12,24,21,96.0,Low
Senior,Cloud Engineer,44,14,4,4,13,14,37,96.0,Low
Junior,QA Engineer,25,4,3,4,10,19,22,90.3,Low
Junior,Business Analyst,25,5,4,5,7,21,14,96.0,Low
Junior,Data Engineer,31,5,2,5,8,16,21,92.65,Low
Senior,Database Administrator,47,16,4,5,13,16,37,96.0,Low
Junior,QA Tester,27,6,3,5,8,30,11,85.3,Medium
Junior,UX Designer,29,7,4,4,8,27,17,95.25,Low
Senior,QA Tester,55,23,5,4,9,16,27,96.0,Low
Senior,Cloud Engineer,52,24,4,5,14,13,31,96.0,Low
Junior,Data Scientist,33,3,3,4,5,18,21,90.65,Low
Senior,QA Engineer,41,9,5,4,10,6,37,96.0,Low
Senior,Data Analyst,44,14,5,5,14,22,22,96.0,Low
Junior,Database Administrator,28,2,3,3,7,18,17,79.4,Low
Junior,Solution Architect,29,6,4,3,4,30,22,89.1,Low
Junior,Database Administrator,29,6,2,4,7,25,19,75.1,Medium
Senior,Cloud Engineer,56,25,5,5,10,7,33,96.0,Low
Senior,Data Analyst,49,21,5,5,10,19,34,96.0,Low
Junior,System Administrator,24,4,3,3,8,23,20,78.9,Low
Senior,UX Researcher,40,8,4,5,17,14,35,96.0,Low
Senior,Business Analyst,36,12,4,4,18,22,19,96.0,Low
Junior,System Analyst,32,5,4,4,6,14,12,96.0,Low
Trainee,Business Analyst,21,1,3,2,3,25,11,50.05,High
Senior,Support Analyst,49,18,4,3,16,14,22,96.0,Low
Junior,UX Designer,26,4,3,3,10,20,22,84.6,Low
Trainee,QA Engineer,26,0,2,3,2,43,16,34.1,High
Junior,Database Administrator,24,3,3,4,4,26,15,78.75,Low
Trainee,Business Analyst,21,1,3,3,4,23,12,60.75,Low
Senior,Data Analyst,44,14,4,4,9,21,36,96.0,Low
Junior,DevOps Engineer,28,5,3,3,6,24,11,75.25,Medium
Senior,IT Manager,50,25,5,5,18,14,37,96.0,Low
Junior,DevOps Engineer,25,4,2,4,5,22,18,76.1,Low
Senior,Data Engineer,39,16,5,5,9,7,29,96.0,Low
Senior,DevOps Engineer,51,25,3,4,10,12,27,96.0,Low
Junior,Cloud Engineer,28,3,2,4,7,27,11,71.15,Medium
Junior,System Analyst,32,5,2,3,8,13,12,72.15,Medium
Junior,Business Analyst,24,4,2,3,7,28,15,62.5,Medium
Trainee,System Analyst,25,1,1,2,3,38,8,18.0,High
Junior,QA Tester,31,6,4,5,9,15,17,96.0,Low
Junior,Solution Architect,24,2,3,3,10,12,19,91.1,Low
Senior,QA Engineer,43,15,3,3,13,7,34,96.0,Low
Senior,QA Engineer,49,18,5,4,18,8,24,96.0,Low
Senior,System Analyst,48,20,5,5,10,7,22,96.0,Low
Senior,Data Scientist,50,20,5,5,14,17,29,96.0,Low
Junior,Business Analyst,33,3,3,3,10,25,11,75.25,Medium
Senior,IT Manager,49,25,4,4,18,24,20,96.0,Low
Junior,Business Analyst,32,6,4,3,6,30,22,86.9,Low
Senior,System Analyst,49,25,3,3,17,20,26,96.0,Low
Junior,Support Analyst,30,4,3,5,8,22,21,93.0,Low
Trainee,System Analyst,24,2,3,4,1,25,8,62.5,Medium
Junior,DevOps Engineer,33,7,4,5,5,24,18,96.0,Low
Senior,Database Administrator,50,22,4,4,16,19,35,96.0,Low
Trainee,Data Analyst,25,1,3,3,1,32,17,52.75,Medium
Senior,QA Tester,43,20,4,4,18,19,21,96.0,Low
Senior,QA Engineer,39,13,4,5,10,21,23,96.0,Low
Senior,QA Engineer,53,24,4,4,15,20,37,96.0,Low
Senior,UX Researcher,47,22,4,4,10,12,27,96.0,Low
Senior,Data Analyst,51,23,4,5,13,18,34,96.0,Low
Senior,Data Engineer,45,15,4,4,9,16,19,96.0,Low
Senior,Business Analyst,53,21,5,4,16,6,34,96.0,Low
Junior,Data Engineer,32,4,2,4,4,26,15,71.2,Medium
Junior,System Administrator,28,3,2,4,5,30,14,66.45,Medium
Junior,Support Analyst,34,5,4,4,7,13,10,96.0,Low
Senior,QA Tester,34,9,3,5,12,20,22,96.0,Low
Senior,Data Scientist,40,14,5,4,9,16,22,96.0,Low
Junior,Business Analyst,30,4,3,4,7,15,13,88.8,Low
Junior,Data Scientist,28,4,2,3,4,30,15,61.4,Medium
Junior,UX Designer,24,2,4,3,10,19,22,96.0,Low
Senior,UX Designer,46,20,3,4,17,18,27,96.0,Low
Junior,QA Tester,33,7,3,4,6,22,17,83.95,Low
Trainee,Data Engineer,25,0,2,2,2,33,15,36.7,High
Senior,Data Analyst,35,12,4,5,8,16,37,96.0,Low
Trainee,Support Analyst,24,0,2,1,4,28,7,25.8,High
Trainee,QA Engineer,23,1,1,1,1,30,7,18.0,High
Junior,QA Engineer,32,5,3,5,6,17,20,95.75,Low
Senior,Business Analyst,46,22,5,3,11,18,32,96.0,Low
Senior,Database Administrator,39,12,5,4,9,6,22,96.0,Low
Senior,Data Analyst,54,22,5,3,18,7,24,96.0,Low
Junior,Support Analyst,26,2,2,4,7,22,17,71.6,Low
Trainee,System Analyst,26,0,2,2,2,30,15,35.8,High
Senior,Database Administrator,49,22,5,4,11,22,36,96.0,Low
Trainee,Data Analyst,21,1,2,2,2,30,6,32.65,High
Junior,IT Manager,25,2,2,4,6,19,13,78.2,Low
Junior,IT Manager,28,4,3,3,7,32,10,71.7,Medium
Junior,UX Researcher,29,3,2,3,10,31,17,63.45,Medium
Junior,QA Engineer,29,5,2,5,9,21,18,84.85,Low
Senior,Data Analyst,33,8,4,5,16,6,24,96.0,Low
Junior,IT Manager,25,5,4,3,7,31,22,90.65,Low
Junior,Solution Architect,30,7,3,4,9,31,12,84.35,Low
Junior,Data Analyst,29,6,3,4,10,24,15,85.9,Low
Trainee,DevOps Engineer,23,1,3,2,2,24,17,54.25,Medium
Senior,Solution Architect,46,22,4,5,13,13,28,96.0,Low
Senior,UX Researcher,46,23,5,4,8,23,18,96.0,Low
Junior,Solution Architect,33,6,4,5,5,25,14,96.0,Low
Junior,Solution Architect,27,5,3,3,4,22,12,77.25,Low
Junior,Business Analyst,31,2,4,3,10,17,22,96.0,Low
Junior,UX Designer,33,2,4,3,6,31,22,85.4,Low
Trainee,Support Analyst,23,0,1,1,1,22,13,19.7,High
Senior,System Administrator,37,13,5,4,12,22,25,96.0,Low
Junior,UX Researcher,24,4,3,3,8,20,13,78.2,Low
Senior,Data Scientist,43,19,5,4,16,18,27,96.0,Low
Senior,QA Engineer,45,20,5,4,15,9,25,96.0,Low
Junior,DevOps Engineer,34,7,3,3,9,19,22,86.75,Low
Trainee,System Analyst,22,1,3,3,2,32,12,51.65,Medium
Senior,Solution Architect,36,9,4,5,14,20,18,96.0,Low
Senior,Data Engineer,48,17,4,5,12,22,18,96.0,Low
Junior,Support Analyst,28,6,2,4,4,14,15,75.5,Low
Trainee,DevOps Engineer,21,1,2,1,2,37,6,18.0,High
Junior,DevOps Engineer,27,7,2,3,4,27,21,66.25,Medium
Trainee,Cloud Engineer,25,0,1,1,2,23,17,26.5,High
Junior,IT Manager,27,5,4,4,6,18,18,96.0,Low
Trainee,DevOps Engineer,23,0,2,2,2,38,8,25.4,High
Senior,Data Engineer,51,20,3,3,14,23,33,96.0,Low
Senior,Cloud Engineer,47,23,4,4,13,22,25,96.0,Low
Junior,UX Designer,26,5,4,3,5,29,21,86.85,Low
Junior,Support Analyst,29,3,3,2,9,25,17,65.75,Medium
Senior,Support Analyst,34,9,5,3,13,15,27,96.0,Low
Junior,System Analyst,31,2,2,3,10,24,22,68.9,Medium
Trainee,Support Analyst,26,0,2,2,3,41,11,20.4,High
Junior,System Analyst,28,6,4,3,5,12,21,96.0,Low
Junior,System Analyst,27,2,4,3,10,25,12,84.2,Low
Trainee,Solution Architect,23,1,2,4,2,44,10,45.45,High
Junior,IT Manager,27,3,4,4,5,28,19,93.85,Low
Senior,QA Engineer,41,10,5,5,13,16,27,96.0,Low
Senior,Data Engineer,42,15,3,4,8,6,24,96.0,Low
Trainee,System Analyst,23,1,3,3,4,34,13,52.45,Medium
Trainee,IT Manager,23,1,2,1,3,27,13,35.45,High
Senior,UX Designer,46,14,4,5,12,23,18,96.0,Low
Junior,Database Administrator,26,6,2,4,8,25,15,74.4,Medium
Senior,UX Researcher,45,15,5,4,8,11,18,96.0,Low
Junior,Data Engineer,29,4,3,3,7,25,19,78.2,Medium
Senior,Data Engineer,39,15,5,5,18,22,23,96.0,Low
Trainee,Solution Architect,21,1,3,2,2,39,8,37.15,High
Trainee,DevOps Engineer,23,2,2,3,1,23,16,52.1,Medium
Junior,QA Tester,33,7,3,4,4,25,17,80.05,Low
Senior,System Administrator,44,21,4,4,16,7,28,96.0,Low
Trainee,DevOps Engineer,25,2,3,1,3,31,11,40.3,High
Senior,UX Designer,44,16,4,4,14,16,35,96.0,Low
Junior,Data Analyst,28,6,4,5,4,23,18,96.0,Low
Junior,Data Engineer,31,6,4,4,7,20,18,96.0,Low
Junior,IT Manager,28,6,2,4,5,27,20,76.3,Medium
Trainee,System Administrator,24,0,3,2,4,24,14,52.4,Medium
Junior,UX Researcher,34,3,3,4,10,32,19,81.55,Low
